"001","002","003","004","005","006","007","008","009","010","011"
"76","16-04-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","9","30","56","NA"
"76","18-04-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","12","23","184","NA"
"76","23-04-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","14","32","182","NA"
"76","25-04-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","13","30","227","NA"
"76","28-04-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","14","32","224","NA"
"76","30-04-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","13","29","253","NA"
"76","02-05-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","12","31","161","NA"
"76","05-05-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","11","27","164","NA"
"76","07-05-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","14","31","175","NA"
"76","09-05-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","12","33","235","NA"
"76","14-05-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","12","33","300","NA"
"76","16-05-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","14","31","138","NA"
"76","19-05-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","16","35","199","NA"
"76","21-05-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","14","33","229","NA"
