,Time,AQI
,Sun Mar 20 2016 21:50:00 GMT+0000 (UTC),81
,Mon Mar 21 2016 00:10:00 GMT+0000 (UTC),75
,Mon Mar 21 2016 02:30:00 GMT+0000 (UTC),162
,Mon Mar 21 2016 03:15:00 GMT+0000 (UTC),293
,Mon Mar 21 2016 04:55:00 GMT+0000 (UTC),230
,Mon Mar 21 2016 05:15:00 GMT+0000 (UTC),151
,Mon Mar 21 2016 09:50:00 GMT+0000 (UTC),174
,Mon Mar 21 2016 11:50:00 GMT+0000 (UTC),137
,Mon Mar 21 2016 11:55:00 GMT+0000 (UTC),137
,Mon Mar 21 2016 12:10:00 GMT+0000 (UTC),143
,Mon Mar 21 2016 13:10:00 GMT+0000 (UTC),127
,Mon Mar 21 2016 13:15:00 GMT+0000 (UTC),125
,Mon Mar 21 2016 13:35:00 GMT+0000 (UTC),125
,Mon Mar 21 2016 14:55:00 GMT+0000 (UTC),126
,Mon Mar 21 2016 15:30:00 GMT+0000 (UTC),114
,Mon Mar 21 2016 17:30:00 GMT+0000 (UTC),139
,Mon Mar 21 2016 18:10:00 GMT+0000 (UTC),130
,Mon Mar 21 2016 18:55:00 GMT+0000 (UTC),135
,Mon Mar 21 2016 23:35:00 GMT+0000 (UTC),123
,Mon Mar 21 2016 23:50:00 GMT+0000 (UTC),102
,Tue Mar 22 2016 02:55:00 GMT+0000 (UTC),120
,Tue Mar 22 2016 18:25:00 GMT+0000 (UTC),109
,Wed Mar 23 2016 07:20:00 GMT+0000 (UTC),244
,Wed Mar 23 2016 09:25:00 GMT+0000 (UTC),281
,Wed Mar 23 2016 09:55:00 GMT+0000 (UTC),234
,Wed Mar 23 2016 11:45:00 GMT+0000 (UTC),181
,Wed Mar 23 2016 14:55:00 GMT+0000 (UTC),246
,Wed Mar 23 2016 15:25:00 GMT+0000 (UTC),246
,Thu Mar 24 2016 03:55:00 GMT+0000 (UTC),368
,Thu Mar 24 2016 17:55:00 GMT+0000 (UTC),415
,Thu Mar 24 2016 19:25:00 GMT+0000 (UTC),410
,Fri Mar 25 2016 03:20:00 GMT+0000 (UTC),397
,Fri Mar 25 2016 16:25:00 GMT+0000 (UTC),416
,Fri Mar 25 2016 20:55:00 GMT+0000 (UTC),329
,Sat Mar 26 2016 04:15:00 GMT+0000 (UTC),107
,Sat Mar 26 2016 13:55:00 GMT+0000 (UTC),181
,Sun Mar 27 2016 02:25:00 GMT+0000 (UTC),127
,Sun Mar 27 2016 06:25:00 GMT+0000 (UTC),243
,Sun Mar 27 2016 20:25:00 GMT+0000 (UTC),308
,Mon Mar 28 2016 00:50:00 GMT+0000 (UTC),133
,Mon Mar 28 2016 04:55:00 GMT+0000 (UTC),300
,Wed Apr 06 2016 18:30:00 GMT+0000 (UTC),126
,Thu Apr 07 2016 15:05:00 GMT+0000 (UTC),167
,Thu Apr 07 2016 18:30:00 GMT+0000 (UTC),375
,Thu Apr 07 2016 22:05:00 GMT+0000 (UTC),104
,Fri Apr 08 2016 07:05:00 GMT+0000 (UTC),127
,Fri Apr 08 2016 09:30:00 GMT+0000 (UTC),104
,Fri Apr 08 2016 10:05:00 GMT+0000 (UTC),104
,Fri Apr 08 2016 10:50:00 GMT+0000 (UTC),155
,Sat Apr 09 2016 10:30:00 GMT+0000 (UTC),127
,Sun Apr 10 2016 12:30:00 GMT+0000 (UTC),157
,Mon Apr 11 2016 15:30:00 GMT+0000 (UTC),149
,Mon Apr 11 2016 16:00:00 GMT+0000 (UTC),149
,Mon Apr 11 2016 19:30:00 GMT+0000 (UTC),130
,Tue Apr 12 2016 21:00:00 GMT+0000 (UTC),140
,Wed Apr 13 2016 11:35:00 GMT+0000 (UTC),375
,Wed Apr 13 2016 13:05:00 GMT+0000 (UTC),353
,Wed Apr 13 2016 14:35:00 GMT+0000 (UTC),181
,Wed Apr 13 2016 18:30:00 GMT+0000 (UTC),341
,Wed Apr 13 2016 23:00:00 GMT+0000 (UTC),338
,Thu Apr 14 2016 00:30:00 GMT+0000 (UTC),345
,Thu Apr 14 2016 07:00:00 GMT+0000 (UTC),300
,Thu Apr 14 2016 18:00:00 GMT+0000 (UTC),456
,Fri Apr 15 2016 03:00:00 GMT+0000 (UTC),629
,Fri Apr 15 2016 04:05:00 GMT+0000 (UTC),280
,Mon Apr 18 2016 19:00:00 GMT+0000 (UTC),385
,Tue Apr 19 2016 08:00:00 GMT+0000 (UTC),373
,Tue Apr 19 2016 13:00:00 GMT+0000 (UTC),191
,Tue Apr 19 2016 14:30:00 GMT+0000 (UTC),463
,Tue Apr 19 2016 18:30:00 GMT+0000 (UTC),270
,Tue Apr 19 2016 22:30:00 GMT+0000 (UTC),323
,Wed Apr 20 2016 08:30:00 GMT+0000 (UTC),346
,Wed Apr 20 2016 09:00:00 GMT+0000 (UTC),346
,Wed Apr 20 2016 14:00:00 GMT+0000 (UTC),346
,Thu Apr 21 2016 18:00:00 GMT+0000 (UTC),313
,Thu Apr 21 2016 21:00:00 GMT+0000 (UTC),323
,Thu Apr 21 2016 22:30:00 GMT+0000 (UTC),456
,Fri Apr 22 2016 11:05:00 GMT+0000 (UTC),270
,Fri Apr 22 2016 15:00:00 GMT+0000 (UTC),511
,Sun Apr 24 2016 10:00:00 GMT+0000 (UTC),313
,Mon Apr 25 2016 14:00:00 GMT+0000 (UTC),209
,Mon Apr 25 2016 20:00:00 GMT+0000 (UTC),450
,Mon Apr 25 2016 21:30:00 GMT+0000 (UTC),351
,Tue Apr 26 2016 14:30:00 GMT+0000 (UTC),754
,Tue Apr 26 2016 21:30:00 GMT+0000 (UTC),355
,Wed Apr 27 2016 02:30:00 GMT+0000 (UTC),631
,Wed Apr 27 2016 03:30:00 GMT+0000 (UTC),750
,Wed Apr 27 2016 20:30:00 GMT+0000 (UTC),546
,Wed Apr 27 2016 23:30:00 GMT+0000 (UTC),430
,Thu Apr 28 2016 00:00:00 GMT+0000 (UTC),430
,Thu Apr 28 2016 18:00:00 GMT+0000 (UTC),585
